,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
932,吉炳伟,男,汉族,9/1/1963,河南省,洛阳市,孟津县,硕士,8/1/1985,在职,,,,,,,,,,,,,,,,
933,周以忠,男,汉族,8/1/1962,河南省,驻马店市,,硕士,4/1/1985,立案查处,是,贪污腐败,,否,5/16/2011,河南省纪委,是,受贿罪,951.5万元人民币,1/1/2014,河南省,郑州市,无期徒刑,否,,
934,刘长春,男,汉族,7/1/1953,山东省,烟台市,,硕士,1/1/1982,立案查处,,贪污腐败,,否,7/28/2014,河南省纪委,,,,,,,,,,
935,李建昌,男,汉族,,,,,不详,,在职,,,,,,,,,,,,,,,,
936,梁绪兴,男,汉族,,河南省,南阳市,桐柏县,本科,,退休,,,,,,,,,,,,,,,,
937,祁金立,男,汉族,9/1/1959,河南省,安阳市,滑县,博士,6/1/1985,立案查处,,贪污腐败,,否,12/31/2014,中纪委,,,,,,,,,,
938,孙泉砀,男,汉族,4/1/1949,河南省,南阳市,,本科,3/1/1972,退休,,,,,,,,,,,,,,,,
939,李柳身,男,汉族,10/1/1957,河南省,焦作市,武陟县,硕士,12/1/1984,在职,,,,,,,,,,,,,,,,
940,郭洪昌,男,汉族,2/1/1956,河南省,安阳市,滑县,本科,,在职,,,,,,,,,,,,,,,,
941,连维良,男,汉族,12/1/1962,河南省,许昌市,禹州市,硕士,4/1/1991,在职,,,,,,,,,,,,,,,,
942,李贵基,男,汉族,5/1/1949,河南省,焦作市,沁阳县,本科,6/1/1982,退休,,,,,,,,,,,,,,,,
943,刘典立,男,汉族,9/1/1942,河南省,洛阳市,,硕士,3/1/1966,退休,,,,,,,,,,,,,,,,
944,孙善武,男,汉族,10/1/1947,湖北省,武汉市,,专科,6/1/1980,立案查处,是,贪污腐败,,否,9/28/2008,中纪委,是,受贿罪,,2/10/2010,山东省,潍坊市,死缓,是,3/25/2010,维持原判
945,李柏拴,男,汉族,2/1/1947,河南省,安阳市,林州市,本科,1/1/1972,退休,,,,,,,,,,,,,,,,
946,赵瑞东,男,汉族,9/1/1967,河南省,驻马店市,泌阳县,本科,1/1/1988,在职,,,,,,,,,,,,,,,,
947,盛国民,男,汉族,1/1/1956,河南省,许昌市,襄城县,本科,12/1/1984,在职,,,,,,,,,,,,,,,,
948,王艳玲,女,汉族,9/1/1962,河南省,安阳市,内黄县,博士,7/1/1982,在职,,,,,,,,,,,,,,,,
949,梁铁虎,男,汉族,12/1/1950,河南省,鹤壁市,浚县,本科,5/1/1969,退休,,,,,,,,,,,,,,,,
950,杨盛道,男,汉族,10/1/1955,河南省,周口市,太康县,硕士,3/1/1983,在职,,,,,,,,,,,,,,,,
951,黄廷远,男,汉族,8/1/1943,山东省,聊城市,莘县,本科,12/1/1965,退休,,,,,,,,,,,,,,,,
952,段喜中,男,汉族,5/1/1955,河南省,许昌市,长葛县,本科,10/1/1983,在职,,,,,,,,,,,,,,,,
953,吴灵臣,男,汉族,11/1/1950,河南省,洛阳市,嵩县,硕士,5/1/1976,立案查处,,违纪,,否,11/7/2014,河南省纪委,,,,,,,,,,
954,张世军,男,汉族,2/1/1946,河南省,三门峡市,卢氏县,本科,,退休,,,,,,,,,,,,,,,,
955,张国晖,男,汉族,6/1/1956,河南省,信阳市,,本科,2/1/1983,在职,,,,,,,,,,,,,,,,
956,李亚,男,汉族,9/1/1963,河南省,商丘市,永城县,博士,10/1/1983,在职,,,,,,,,,,,,,,,,
957,刘春良,男,汉族,3/1/1954,山东省,济宁市,兖州市,硕士,8/1/1982,在职,,,,,,,,,,,,,,,,
958,王树山,男,汉族,8/1/1957,山东省,德州市,平原县,博士,9/1/1977,在职,,,,,,,,,,,,,,,,
959,孔玉芳,女,汉族,9/1/1951,河南省,信阳市,,硕士,10/1/1970,退休,,,,,,,,,,,,,,,,
960,曹存正,男,汉族,10/1/1957,河南省,新乡市,封丘县,硕士,10/1/1984,在职,,,,,,,,,,,,,,,,
961,吕清海,男,汉族,11/1/1959,河南省,新乡市,辉县,硕士,3/1/1985,立案查处,是,贪污腐败,,否,8/25/2011,河南省纪委,是,,,,,,,,,
962,靳克文,男,汉族,9/1/1954,河南省,周口市,项城县,硕士,7/1/1984,在职,,,,,,,,,,,,,,,,
963,史宁安,男,汉族,10/1/1955,山东省,潍坊市,临朐县,硕士,8/1/1980,死亡,,,,,,,,,,,,,,,,
964,刘炳旺,男,汉族,8/1/1946,河南省,洛阳市,,专科,11/1/1971,立案查处,是,贪污腐败,,否,5/1/2008,河南省纪委,是,受贿罪、巨额财产来源不明罪,,11/1/2009,河南省,周口市,20年有期徒刑,是,12/11/2009,17年有期徒刑
965,马正跃,男,汉族,7/1/1958,河南省,信阳市,固始县,本科,8/1/1977,在职,,,,,,,,,,,,,,,,
966,余学友,男,汉族,6/1/1958,河南省,信阳市,光山县,硕士,11/1/1983,在职,,,,,,,,,,,,,,,,
967,陶明伦,男,汉族,5/1/1963,河南省,驻马店市,泌阳县,硕士,7/1/1983,在职,,,,,,,,,,,,,,,,
968,王保存,男,汉族,9/1/1957,河南省,郑州市,新密市,硕士,6/1/1985,在职,,,,,,,,,,,,,,,,
969,毛凤兰,女,汉族,6/1/1952,河南省,周口市,鹿邑县,硕士,5/1/1971,在职,,,,,,,,,,,,,,,,
970,刘满仓,男,汉族,10/1/1955,河南省,南阳市,西峡县,硕士,6/1/1981,在职,,,,,,,,,,,,,,,,
971,史培德,男,汉族,9/1/1942,河南省,鹤壁市,淇县,本科,11/1/1965,退休,,,,,,,,,,,,,,,,
972,刘新民,男,汉族,6/1/1949,河南省,开封市,通许县,硕士,12/1/1968,退休,,,,,,,,,,,,,,,,
973,乔新江,男,汉族,10/1/1961,河南省,许昌市,长葛市,硕士,11/1/1990,在职,,,,,,,,,,,,,,,,
974,郭瑞民,男,汉族,8/1/1962,河南省,新乡市,延津县,本科,12/1/1984,在职,,,,,,,,,,,,,,,,
975,王铁,男,汉族,10/1/1957,河南省,驻马店市,泌阳县,博士,8/1/1986,在职,,,,,,,,,,,,,,,,
976,刘怀廉,男,汉族,7/1/1951,河南省,商丘市,虞城县,硕士,3/1/1975,死亡,,,,,,,,,,,,,,,,
977,李中央,男,汉族,8/1/1946,河南省,许昌市,长葛市,专科,1/1/1966,退休,,,,,,,,,,,,,,,,
978,武国定,男,汉族,6/1/1963,河南省,平顶山市,舞钢市,硕士,10/1/1984,在职,,,,,,,,,,,,,,,,
979,刘国庆,男,汉族,10/1/1957,河南省,周口市,太康县,硕士,6/1/1983,立案查处,,贪污腐败,,否,4/25/2014,河南省纪委,是,受贿罪,,,,,,,,
980,化有勋,男,汉族,10/1/1952,河南省,许昌市,,本科,4/1/1974,在职,,,,,,,,,,,,,,,,
981,宋璇涛,男,汉族,3/1/1960,河南省,安阳市,滑县,博士,7/1/1983,在职,,,,,,,,,,,,,,,,
982,卢大伟,男,汉族,6/1/1948,河南省,洛阳市,,本科,4/1/1973,退休,,,,,,,,,,,,,,,,
983,王宇燕,女,汉族,5/1/1966,河南省,许昌市,襄城县,博士,7/1/1986,在职,,,,,,,,,,,,,,,,
984,何雄,男,汉族,3/1/1969,湖北省,孝感市,安陆市,博士,12/1/1998,在职,,,,,,,,,,,,,,,,
985,赵素萍,女,汉族,11/1/1958,河北省,沧州市,献县,博士,5/1/1985,在职,,,,,,,,,,,,,,,,
986,周春艳,女,汉族,1/1/1960,山东省,济南市,金乡县,硕士,6/1/1979,在职,,,,,,,,,,,,,,,,
987,李克,男,壮族,12/1/1956,广西壮族自治区,崇左市,扶绥县,硕士,6/1/1975,在职,,,,,,,,,,,,,,,,
988,陈奎元,男,汉族,1/1/1941,辽宁省,沈阳市,康平县,本科,5/1/1965,退休,,,,,,,,,,,,,,,,
